,ChildrenId,ResultBaseline,ResultRound1,ResultRound2,ResultEndline,Baseline to Round 1,Round 1 to Round 2,Baseline to Endline,Completing Result Baseline to Endline-Story/Comprehension Level,AtLeastAchievedSentence,ComprehensionAchieved,StoryAchieved,Baseline_Endline,Gender,AcademicYearId,Term,Year,Grade,Age,EoR1,EoR2,EoR3/Endline,ParentTypeId,BaselineClass,SchoolID,ClassID,IsActiveChildTable,IsCurrentChildrenAcademicTable,IsActiveSchool,IsActiveClass,CuCStatus,DeleteReasonId,AcademicYearName,AttendanceRate
2009,28142,Beginner,Letter,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 3 Levels,Male,25,2,2022,Grade 5,18.0,Yes,No,Yes,1.0,No,141,2854,True,True,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.96875
2010,28370,Beginner,Letter,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 3 Levels,Male,25,2,2022,Grade 5,18.0,Yes,No,Yes,2.0,No,139,2378,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.8421052631578947
2011,28313,Letter,Letter,null,Sentence,Stayed The Same,null,Increase,False,True,False,False,Increase 2 Levels,Female,25,2,2022,Grade 4,14.0,Yes,No,Yes,2.0,No,139,2378,True,True,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.9444444444444444
2012,28320,Letter,Letter,null,Sentence,Stayed The Same,null,Increase,False,True,False,False,Increase 2 Levels,Male,25,2,2022,Grade 3,12.0,Yes,No,Yes,1.0,No,139,2378,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.9142857142857143
2013,28321,Letter,Letter,null,Sentence,Stayed The Same,null,Increase,False,True,False,False,Increase 2 Levels,Female,25,2,2022,Grade 3,11.0,Yes,No,Yes,1.0,No,139,2378,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.8
2014,28322,Letter,Word,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 2 Levels,Male,25,2,2022,Grade 5,15.0,Yes,No,Yes,1.0,No,139,2378,True,True,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.8611111111111112
2015,28324,Letter,Word,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 2 Levels,Female,25,2,2022,Grade 6,16.0,Yes,No,Yes,1.0,No,139,2378,True,True,True,False,True,6.0,2022-PPL-Literacy-CuC Cycle 1,0.8055555555555556
2016,28328,Letter,Word,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 2 Levels,Female,25,2,2022,Grade 3,13.0,Yes,No,Yes,2.0,No,139,2378,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.5833333333333334
2017,28346,Letter,Word,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 2 Levels,Male,25,2,2022,Grade 5,14.0,Yes,No,Yes,2.0,No,139,2378,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.8888888888888888
2018,28348,Letter,Letter,null,Sentence,Stayed The Same,null,Increase,False,True,False,False,Increase 2 Levels,Female,25,2,2022,Grade 5,14.0,Yes,No,Yes,1.0,No,139,2378,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.75
2019,28349,Letter,Word,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 2 Levels,Female,25,2,2022,Grade 5,15.0,Yes,No,Yes,1.0,No,139,2378,True,True,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.9722222222222222
2020,28350,Letter,Word,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 2 Levels,Female,25,2,2022,Grade 5,15.0,Yes,No,Yes,1.0,No,139,2378,True,True,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.9166666666666666
2021,28357,Letter,Letter,null,Sentence,Stayed The Same,null,Increase,False,True,False,False,Increase 2 Levels,Female,25,2,2022,Grade 4,16.0,Yes,No,Yes,2.0,No,139,2378,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.8611111111111112
2022,28358,Letter,Letter,null,Sentence,Stayed The Same,null,Increase,False,True,False,False,Increase 2 Levels,Male,25,2,2022,Grade 4,13.0,Yes,No,Yes,1.0,No,139,2378,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.8333333333333334
2023,28359,Letter,Word,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 2 Levels,Male,25,2,2022,Grade 4,15.0,Yes,No,Yes,1.0,No,139,2378,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.7777777777777778
2024,28360,Letter,Letter,null,Sentence,Stayed The Same,null,Increase,False,True,False,False,Increase 2 Levels,Male,25,2,2022,Grade 5,18.0,Yes,No,Yes,1.0,No,139,2378,True,True,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.8888888888888888
2025,28279,Letter,Word,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 2 Levels,Female,25,2,2022,Grade 5,16.0,Yes,No,Yes,1.0,No,139,2378,True,True,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.8888888888888888
2026,28282,Letter,Word,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 2 Levels,Female,25,2,2022,Grade 6,16.0,Yes,No,Yes,1.0,No,139,2378,True,True,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.8333333333333334
2027,28286,Letter,Word,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 2 Levels,Male,25,2,2022,Grade 5,16.0,Yes,No,Yes,1.0,No,139,2378,True,True,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.9166666666666666
2028,28288,Letter,Word,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 2 Levels,Female,25,2,2022,Grade 3,12.0,Yes,No,Yes,1.0,No,139,2378,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,1.0
2029,28290,Letter,Word,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 2 Levels,Male,25,2,2022,Grade 4,13.0,Yes,No,Yes,1.0,No,139,2378,True,True,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.9444444444444444
2030,28086,Word,Word,null,Sentence,Stayed The Same,null,Increase,False,True,False,False,Increase 1 Level,Male,25,2,2022,Grade 4,14.0,Yes,No,Yes,1.0,No,135,2359,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.9722222222222222
2031,29160,Letter,Word,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 2 Levels,Male,25,2,2022,Grade 4,14.0,Yes,No,Yes,3.0,No,152,2425,True,False,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.9
2032,29150,Letter,Letter,null,Sentence,Stayed The Same,null,Increase,False,True,False,False,Increase 2 Levels,Male,25,2,2022,Grade 1,14.0,Yes,No,Yes,3.0,No,152,2425,True,False,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.95
2033,29151,Letter,Letter,null,Sentence,Stayed The Same,null,Increase,False,True,False,False,Increase 2 Levels,Male,25,2,2022,Grade 1,18.0,Yes,No,Yes,0.0,No,152,2422,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.9
2034,29133,Letter,Word,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 2 Levels,Female,25,2,2022,Grade 4,18.0,Yes,No,Yes,3.0,No,152,2425,True,False,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,1.0
2035,29174,Word,Word,null,Sentence,Stayed The Same,null,Increase,False,True,False,False,Increase 1 Level,Female,25,2,2022,Grade 6,16.0,Yes,No,Yes,3.0,No,152,2425,True,False,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.8421052631578947
2036,29149,Letter,Word,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 2 Levels,Male,25,2,2022,Grade 2,16.0,Yes,No,Yes,3.0,No,152,2425,True,False,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,1.0
2037,29163,Letter,null,null,Sentence,null,null,Increase,False,True,False,False,Increase 2 Levels,Male,25,2,2022,Grade 4,16.0,No,No,Yes,0.0,No,152,2422,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.65
2038,29033,Sentence,Sentence,Sentence,Letter,Stayed The Same,Stayed The Same,Decrease,False,True,False,False,Decrease,Female,25,2,2022,Grade 5,18.0,Yes,Yes,Yes,3.0,No,209,2670,True,False,True,True,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.9047619047619048
2039,29033,Sentence,Sentence,Sentence,Letter,Stayed The Same,Stayed The Same,Decrease,False,True,False,False,Decrease,Female,25,2,2022,Grade 5,18.0,Yes,Yes,Yes,3.0,No,209,2671,True,False,True,True,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.9047619047619048
2040,29033,Sentence,Sentence,Sentence,Letter,Stayed The Same,Stayed The Same,Decrease,False,True,False,False,Decrease,Female,25,2,2022,Grade 5,18.0,Yes,Yes,Yes,3.0,No,150,2416,True,False,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.9047619047619048
2041,29028,Sentence,Sentence,Sentence,Sentence,Stayed The Same,Stayed The Same,Stayed The Same,False,True,False,False,No Change,Male,25,2,2022,Grade 4,17.0,Yes,Yes,Yes,3.0,No,150,2416,True,False,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.8787878787878788
2042,29017,Sentence,Sentence,Sentence,Sentence,Stayed The Same,Stayed The Same,Stayed The Same,False,True,False,False,No Change,Male,25,2,2022,Grade 4,15.0,Yes,Yes,Yes,3.0,No,150,2416,True,False,True,False,True,14.0,2022-PPL-Literacy-CuC Cycle 1,0.8787878787878788
2043,29176,Word,null,null,Sentence,null,null,Increase,False,True,False,False,Increase 1 Level,Male,25,2,2022,Grade 4,19.0,No,No,Yes,3.0,No,152,2424,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.85
2044,29178,Word,Word,null,Sentence,Stayed The Same,null,Increase,False,True,False,False,Increase 1 Level,Female,25,2,2022,Grade 4,19.0,Yes,No,Yes,3.0,No,152,2425,True,False,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.8421052631578947
2045,29161,Letter,Letter,null,Sentence,Stayed The Same,null,Increase,False,True,False,False,Increase 2 Levels,Male,25,2,2022,Grade 4,17.0,Yes,No,Yes,3.0,No,152,2425,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.95
2046,28797,Letter,Word,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 2 Levels,Female,25,2,2022,Grade 1,18.0,Yes,No,Yes,3.0,No,148,2456,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.8857142857142857
2047,28779,Letter,Word,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 2 Levels,Male,25,2,2022,Grade 1,18.0,Yes,No,Yes,3.0,No,148,2456,True,False,True,False,True,1.0,2022-PPL-Literacy-CuC Cycle 1,1.0
2048,28786,Letter,Word,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 2 Levels,Female,25,2,2022,Grade 3,17.0,Yes,No,Yes,3.0,No,148,2404,True,False,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.9142857142857143
2049,28799,Letter,Word,null,Sentence,Increase,null,Increase,False,True,False,False,Increase 2 Levels,Male,25,2,2022,Grade 1,19.0,Yes,No,Yes,3.0,No,148,2456,True,True,True,False,True,0.0,2022-PPL-Literacy-CuC Cycle 1,0.9714285714285714
