AcademicYearId,SchoolId,ClassId,ChildrenId,CommunicationIssue,MemoryConcentration,Hearing,Vision,Selfcare,Walking/Climbing,IsElectricityAvailable?,IsRadioTVAvailable?,IsTelephoneAvailable?,ChildrenGrade,ChildrenAge,ChildrenGender,OOSC_Child,HasTelevision,IsBikeAvailable?,IsOx-cartAvailable?,HasMotorcycle,self_esteem_life_skills,SELMatrix_Get_along_with_people,SELMatrix_Educations_is_important,SELMatrix_Behave_in_different_situations,SELMatrix_Parents_caregiver_take_care,SELMatrix_Parents_caregiver_know_a_lot_about_me,SELMatrix_Hungry,SELMatrix_People_like_to_spend_time_with_me,SELMatrix_Talk_to_family_when_feelings,SELMatrix_Friends_support,SELMatrix_Get_along_at_school,SELMatrix_Parents_caregiver_care_to_me,SELMatrix_Friends_care_about_me,SELMatrix_Treat_fairly_at_community,SELMatrix_Chance_to_show_the_growth,SELMatrix_Feel_safe_with_family,SELMatrix_Chance_to_learn,SELMatrix_likely_to_celebrate,menustral_cycle,menustral_cloth,menustral_normal,menustral_bathing,menustral_age,menustral_frequency,student_identity_type,PrimaryCareGiver,BirthOrder,HomeLanguage,Year,sel_total,skills_abilities,compare_others,life_goal
13,132,34.0,28904,No difficulty,Some difficulty,No difficulty,No difficulty,No difficulty,No difficulty,,,,4,10.0,0,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Father,3,Hausa,2024,51.0,High confidence,Occasionally,Yes
13,130,43.0,30194,No difficulty,don't_know,No difficulty,No difficulty,No difficulty,No difficulty,,,,0,12.0,0,1 month ago,,,,,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,,Father,3,Hausa,2024,51.0,Neutral,Occasionally,Yes
13,130,43.0,27322,No difficulty,don't_know,No difficulty,No difficulty,No difficulty,No difficulty,,,,0,12.0,1,4-6 months ago,,,,,9.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,Father,3,Hausa,2024,31.0,Neutral,Never,Yes
13,130,43.0,28461,No difficulty,don't_know,No difficulty,No difficulty,No difficulty,No difficulty,,,,0,12.0,0,1-3 months ago,,,,,7.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,,Father,4,Hausa,2024,47.0,Neutral,Never,Yes
13,130,43.0,29650,don't_know,don't_know,No difficulty,No difficulty,don't_know,No difficulty,,,,0,10.0,1,Never went to school,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Father,5,Hausa,2024,51.0,Low confidence,Occasionally,Yes
13,130,43.0,29654,No difficulty,Some difficulty,No difficulty,No difficulty,No difficulty,No difficulty,,,,0,12.0,1,Never went to school,,,,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Father,4,Hausa,2024,47.0,Low confidence,Never,Yes
13,113,39.0,29201,No difficulty,Some difficulty,No difficulty,No difficulty,No difficulty,No difficulty,,,,4,10.0,1,,,,,,5.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Father,5,Hausa,2024,41.0,Neutral,Never,Yes
13,133,37.0,22694,No difficulty,Some difficulty,No difficulty,No difficulty,No difficulty,No difficulty,,,,0,12.0,1,1-3 months ago,,,,,7.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,,Father,4,Hausa,2024,31.0,Low confidence,Never,Yes
13,133,37.0,31536,No difficulty,Some difficulty,No difficulty,No difficulty,No difficulty,No difficulty,,,,0,11.0,0,10-12 months ago,,,,,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,,Father,1,Hausa,2024,48.0,Neutral,Occasionally,Yes
13,117,42.0,34024,No difficulty,Some difficulty,No difficulty,No difficulty,No difficulty,No difficulty,,,,0,9.0,0,Never went to school,,,,,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Father,2,Hausa,2024,51.0,Low confidence,Never,Yes
13,117,42.0,34027,No difficulty,Some difficulty,No difficulty,No difficulty,No difficulty,No difficulty,,,,0,9.0,1,Never went to school,,,,,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,,Father,7,Hausa,2024,51.0,High confidence,Never,Don't_Know
13,126,32.0,31638,Some difficulty,Some difficulty,No difficulty,No difficulty,Some difficulty,No difficulty,,,,4,13.0,1,,,,,,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,,Father,4,Hausa,2024,41.0,Low confidence,Occasionally,Yes
13,134,35.0,20187,No difficulty,don't_know,No difficulty,No difficulty,No difficulty,No difficulty,,,,4,9.0,1,,,,,,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,,Father,3,Hausa,2024,51.0,Neutral,Never,Yes
13,135,38.0,19630,No difficulty,don't_know,No difficulty,No difficulty,Some difficulty,No difficulty,,,,0,12.0,1,1 month ago,,,,,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,,Father,4,Hausa,2024,51.0,Neutral,Never,Yes
13,117,42.0,35749,Some difficulty,No difficulty,No difficulty,No difficulty,No difficulty,No difficulty,,,,3,12.0,0,,,,,,8.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,,Sibling,7,Hausa,2024,51.0,High confidence,Occasionally,Yes
13,120,48.0,25433,A lot of difficulty,No difficulty,No difficulty,No difficulty,A lot of difficulty,No difficulty,,,,5,9.0,0,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,,Mother,4,Hausa,2024,51.0,High confidence,Often,Yes
13,116,30.0,27388,Some difficulty,No difficulty,No difficulty,No difficulty,Some difficulty,No difficulty,,,,0,10.0,1,7-9 months ago,,,,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,,Mother,6,Hausa,2024,34.0,Neutral,Often,Yes
13,125,47.0,32266,Some difficulty,No difficulty,No difficulty,No difficulty,No difficulty,No difficulty,,,,0,13.0,0,1-3 months ago,,,,,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Mother,2,Hausa,2024,51.0,Low confidence,Occasionally,Yes
